Text,Topic,Emotion
Hôm nay Trời mưa nằm nhà dạo phố là sướng nhất quá,Đời sống thường ngày,Thư giãn
Nay Lỡ tay xóa mất PSU 650W không cứu được chán,Khoa học & Công nghệ,Buồn rầu
Hôm nay Đi chơi OBS stream với anh em cười đau bụng hihi,Giải trí & Gaming,Hào hứng
Đang Nay mới tậu server Linux dùng sướng vãi,Khoa học & Công nghệ,Hào hứng
Tự nhiên Cấu hình CentOS khó quá nhức hết cả đầu mn ơi,Khoa học & Công nghệ,Căng thẳng
Tự nhiên Cày OBS stream giải trí sau giờ học :((,Giải trí & Gaming,Thư giãn
Thề luôn Đạt điểm A môn CT179 sung sướng quá mn ơi,Học tập,Hào hứng
Đang Máy chủ code PHP bị sập chán quá ae ạ,Khoa học & Công nghệ,Buồn rầu
Nay Đi chơi Return of the Disaster-Class Hero với anh em cười đau bụng hihi,Giải trí & Gaming,Hào hứng
Tự nhiên Test thành công hệ thống server Linux quá,Khoa học & Công nghệ,Hào hứng
Thề luôn Cuối tuần ngồi chơi rank Kim Cương chill chill haha,Giải trí & Gaming,Thư giãn
Thề luôn Làm ván truyện Manhwa cho nhẹ đầu chán,Giải trí & Gaming,Thư giãn
Thề luôn Mới làm hỏng code PHP tốn mớ tiền quá,Khoa học & Công nghệ,Buồn rầu
Máy chủ code React bị sập chán quá chán,Khoa học & Công nghệ,Buồn rầu
Nay Pha ly cà phê ngồi ăn mì tôm ngắm phố phường :((,Đời sống thường ngày,Thư giãn
Hôm nay Vừa thắng chuỗi trận Minecraft cảm giác yomost :((,Giải trí & Gaming,Hào hứng
"Hôm nay Cuối tháng hết tiền, phải chạy xe quanh Cần Thơ cho qua ngày hihi",Đời sống thường ngày,Buồn rầu
Tự nhiên Cuối tuần ngồi chơi Return of the Disaster-Class Hero chill chill thật sự,Giải trí & Gaming,Thư giãn
Bị điểm thấp bài kiểm tra bảo vệ đề tài chán chả buồn nói thật sự,Học tập,Buồn rầu
Nay Mai thi môn Quản trị hệ thống mà chưa chữ nào vào đầu ae ạ,Học tập,Căng thẳng
"Rớt môn thực tập mạng rồi, buồn quá ae ạ",Học tập,Buồn rầu
Tự nhiên Làm đồ án với CentOS mà code không chạy :((,Khoa học & Công nghệ,Căng thẳng
"Nay Cuối tháng hết tiền, phải ăn mì tôm cho qua ngày :((",Đời sống thường ngày,Buồn rầu
"Thề luôn Hôm nay xui xẻo, lỡ làm dạo phố hỏng quá",Đời sống thường ngày,Buồn rầu
Đang Chơi Return of the Disaster-Class Hero bị giật lag ping cao bực mình ae ạ,Giải trí & Gaming,Căng thẳng
Thề luôn Mới được nhận lương đi chạy xe quanh Cần Thơ thôi haha,Đời sống thường ngày,Vui vẻ
Thề luôn Mở được nhân vật xịn trong OBS stream bá cháy quá,Giải trí & Gaming,Hào hứng
Hôm nay Đi chơi Minecraft với anh em cười đau bụng ae ạ,Giải trí & Gaming,Hào hứng
Hôm nay Mới được nhận lương đi nghe nhạc thôi :((,Đời sống thường ngày,Vui vẻ
Nay Bug CentOS fix cả đêm chưa xong trầm cảm chán,Khoa học & Công nghệ,Căng thẳng
"Đang Rớt môn Quản trị hệ thống rồi, buồn quá haha",Học tập,Buồn rầu
Đang Gánh team còng lưng trong Return of the Disaster-Class Hero quá,Giải trí & Gaming,Hào hứng
Làm bài tập bảo vệ đề tài với team mệt mỏi quá,Học tập,Căng thẳng
Nay Cuối tuần đi xem phim Donghua hít thở không khí trong lành :((,Đời sống thường ngày,Thư giãn
Hôm nay Làm bài tập bài tập nhóm với team mệt mỏi quá thật sự,Học tập,Căng thẳng
Đang Bug mạng ảo Kathara fix cả đêm chưa xong trầm cảm ae ạ,Khoa học & Công nghệ,Căng thẳng
"Nay Hôm nay xui xẻo, lỡ làm uống cà phê hỏng :((",Đời sống thường ngày,Buồn rầu
"Hôm nay Hôm nay xui xẻo, lỡ làm chạy xe quanh Cần Thơ hỏng :((",Đời sống thường ngày,Buồn rầu
"Thề luôn Rớt môn cấu hình Router rồi, buồn quá mn ơi",Học tập,Buồn rầu
Tự nhiên Mai thi môn thực tập mạng mà chưa chữ nào vào đầu chán,Học tập,Căng thẳng
Hôm nay Đọc liền tù tì bộ chuột FPS cuốn quá thật sự,Giải trí & Gaming,Thư giãn
Tự nhiên Làm ván Valorant cho nhẹ đầu chán,Giải trí & Gaming,Thư giãn
Hôm nay Gánh team còng lưng trong OBS stream thật sự,Giải trí & Gaming,Hào hứng
"Hôm nay xui xẻo, lỡ làm xem phim Donghua hỏng thật sự",Đời sống thường ngày,Buồn rầu
Hôm nay Học CT179 khó hiểu quá chắc tạch mn ơi,Học tập,Buồn rầu
Thề luôn Vừa thắng chuỗi trận Valorant cảm giác yomost thật sự,Giải trí & Gaming,Hào hứng
Test thành công hệ thống server Linux :((,Khoa học & Công nghệ,Hào hứng
Hôm nay Trời mưa nằm nhà nghe nhạc là sướng nhất chán,Đời sống thường ngày,Thư giãn
Nay Chuỗi thua rank Kim Cương tụt rank thảm hại :((,Giải trí & Gaming,Căng thẳng
Tự nhiên Máy chủ CentOS bị sập chán quá :((,Khoa học & Công nghệ,Buồn rầu
Đang Mới làm hỏng Ubuntu dual boot tốn mớ tiền mn ơi,Khoa học & Công nghệ,Buồn rầu
Hôm nay Giải được bài viết báo cáo khó nhất lớp :((,Học tập,Hào hứng
Đang Làm bài tập Quản trị hệ thống với team mệt mỏi quá ae ạ,Học tập,Căng thẳng
Thề luôn Chuỗi thua chuột FPS tụt rank thảm hại chán,Giải trí & Gaming,Căng thẳng
Cuối tuần đi nghe nhạc hít thở không khí trong lành :((,Đời sống thường ngày,Thư giãn
Tự nhiên Làm ván OBS stream cho nhẹ đầu quá,Giải trí & Gaming,Thư giãn
Code xong chức năng máy ảo VMware thấy mình bá thật ae ạ,Khoa học & Công nghệ,Hào hứng
Hôm nay Làm ván Return of the Disaster-Class Hero cho nhẹ đầu mn ơi,Giải trí & Gaming,Thư giãn
Test thành công hệ thống code PHP :((,Khoa học & Công nghệ,Hào hứng
Nay Mai thi môn đồ án niên luận mà chưa chữ nào vào đầu thật sự,Học tập,Căng thẳng
"Tự nhiên Cuối tháng hết tiền, phải uống cà phê cho qua ngày mn ơi",Đời sống thường ngày,Buồn rầu
Thề luôn Gặp team tạ trong truyện Manhwa ức chế thật hihi,Giải trí & Gaming,Căng thẳng
Nay Làm ván chuột FPS cho nhẹ đầu ae ạ,Giải trí & Gaming,Thư giãn
Tự nhiên Bug code React fix cả đêm chưa xong trầm cảm haha,Khoa học & Công nghệ,Căng thẳng
Nay Ping chuột FPS nhảy lên 999ms nản luôn haha,Giải trí & Gaming,Căng thẳng
Đang Pha ly cà phê ngồi uống cà phê ngắm phố phường haha,Đời sống thường ngày,Thư giãn
Hôm nay Giải được bài cấu hình Router khó nhất lớp ae ạ,Học tập,Hào hứng
Làm ván Minecraft cho nhẹ đầu hihi,Giải trí & Gaming,Thư giãn
Test thành công hệ thống Ubuntu dual boot ae ạ,Khoa học & Công nghệ,Hào hứng
Hôm nay Hệ thống code React đang báo lỗi đỏ lòm haha,Khoa học & Công nghệ,Căng thẳng
Hôm nay Xe hư giữa đường lúc đang xem phim Donghua quá,Đời sống thường ngày,Buồn rầu
Làm ván Return of the Disaster-Class Hero cho nhẹ đầu,Giải trí & Gaming,Thư giãn
Vừa fix xong bug server Linux mừng rớt nước mắt mn ơi,Khoa học & Công nghệ,Hào hứng
Nay Mới cài xong PSU 650W chạy mượt quá thật sự,Khoa học & Công nghệ,Hào hứng
Hôm nay Làm bài tập bài tập nhóm với team mệt mỏi quá :((,Học tập,Căng thẳng
Tự nhiên Bug PSU 650W fix cả đêm chưa xong trầm cảm :((,Khoa học & Công nghệ,Căng thẳng
Tự nhiên Làm đồ án với máy ảo VMware mà code không chạy thật sự,Khoa học & Công nghệ,Căng thẳng
Nay Chơi truyện Manhwa bị giật lag ping cao bực mình mn ơi,Giải trí & Gaming,Căng thẳng
"Nay Hôm nay xui xẻo, lỡ làm ăn quán vỉa hè hỏng hihi",Đời sống thường ngày,Buồn rầu
Tự nhiên Trời mưa nằm nhà dạo phố là sướng nhất thật sự,Đời sống thường ngày,Thư giãn
Cấu hình PSU 650W khó quá nhức hết cả đầu quá,Khoa học & Công nghệ,Căng thẳng
Nay Mới cài xong server Linux chạy mượt quá hihi,Khoa học & Công nghệ,Hào hứng
Thề luôn Deadline môn đồ án niên luận dí sấp mặt chán,Học tập,Căng thẳng
Đang Thầy chấm bảo vệ đề tài gắt quá,Học tập,Buồn rầu
Tự nhiên Cày rank Kim Cương giải trí sau giờ học hihi,Giải trí & Gaming,Thư giãn
Thề luôn Chuỗi thua OBS stream tụt rank thảm hại,Giải trí & Gaming,Căng thẳng
Nay Đi chơi Return of the Disaster-Class Hero với anh em cười đau bụng mn ơi,Giải trí & Gaming,Hào hứng
"Thề luôn Cuối tháng hết tiền, phải nghe nhạc cho qua ngày haha",Đời sống thường ngày,Buồn rầu
Hôm nay Giải được bài cấu hình Router khó nhất lớp thật sự,Học tập,Hào hứng
Nay Máy chủ CentOS bị sập chán quá :((,Khoa học & Công nghệ,Buồn rầu
Tự nhiên Cuối tuần ngồi chơi chuột FPS chill chill mn ơi,Giải trí & Gaming,Thư giãn
"Tự nhiên Hôm nay xui xẻo, lỡ làm xem phim Donghua hỏng chán",Đời sống thường ngày,Buồn rầu
Thề luôn Học Quản trị hệ thống khó hiểu quá chắc tạch thật sự,Học tập,Buồn rầu
Hôm nay Mới cài xong code React chạy mượt quá,Khoa học & Công nghệ,Hào hứng
Hệ thống code PHP đang báo lỗi đỏ lòm chán,Khoa học & Công nghệ,Căng thẳng
Tự nhiên Hôm nay trời đẹp đi chạy xe quanh Cần Thơ quá xá đã mn ơi,Đời sống thường ngày,Vui vẻ
Tự nhiên Hôm nay trời đẹp đi chạy xe quanh Cần Thơ quá xá đã ae ạ,Đời sống thường ngày,Vui vẻ
Hôm nay Đọc liền tù tì bộ Minecraft cuốn quá haha,Giải trí & Gaming,Thư giãn
Pha ly cà phê ngồi chạy xe quanh Cần Thơ ngắm phố phường,Đời sống thường ngày,Thư giãn
"Nay Rớt môn đồ án niên luận rồi, buồn quá",Học tập,Buồn rầu
Thề luôn Thầy chấm Quản trị hệ thống gắt quá haha,Học tập,Buồn rầu
Tự nhiên Thuyết trình bài tập nhóm thành công rực rỡ chán,Học tập,Hào hứng
Tự nhiên Làm bài tập cấu hình Router với team mệt mỏi quá mn ơi,Học tập,Căng thẳng
Thề luôn Gặp lại bạn cũ đi ngủ nướng cười thả ga :((,Đời sống thường ngày,Vui vẻ
Hôm nay Đi chơi Return of the Disaster-Class Hero với anh em cười đau bụng :((,Giải trí & Gaming,Hào hứng
Thề luôn Mới làm hỏng Ubuntu dual boot tốn mớ tiền thật sự,Khoa học & Công nghệ,Buồn rầu
"Thề luôn Hôm nay xui xẻo, lỡ làm xem phim Donghua hỏng :((",Đời sống thường ngày,Buồn rầu
Tự nhiên Cuối tuần đi nghe nhạc hít thở không khí trong lành quá,Đời sống thường ngày,Thư giãn
Chơi Valorant bị giật lag ping cao bực mình :((,Giải trí & Gaming,Căng thẳng
Nay Vừa thắng chuỗi trận truyện Manhwa cảm giác yomost haha,Giải trí & Gaming,Hào hứng
Nay Cài đặt lab cho bài tập nhóm phức tạp ghê haha,Học tập,Căng thẳng
Thầy chấm cấu hình Router gắt quá hihi,Học tập,Buồn rầu
Nay Gặp lại bạn cũ đi uống cà phê cười thả ga,Đời sống thường ngày,Vui vẻ
Thề luôn Được tặng món quà dạo phố vui quá ae ạ,Đời sống thường ngày,Vui vẻ
Hôm nay Làm đồ án với database Firebase mà code không chạy hihi,Khoa học & Công nghệ,Căng thẳng
"Đang Rớt môn đồ án niên luận rồi, buồn quá ae ạ",Học tập,Buồn rầu
Đang Giải được bài bài tập nhóm khó nhất lớp quá,Học tập,Hào hứng
Hôm nay Hôm nay trời đẹp đi ăn quán vỉa hè quá xá đã hihi,Đời sống thường ngày,Vui vẻ
Nay Deadline môn đồ án niên luận dí sấp mặt quá,Học tập,Căng thẳng
Tự nhiên Mới làm hỏng server Linux tốn mớ tiền quá,Khoa học & Công nghệ,Buồn rầu
Thề luôn Ping Return of the Disaster-Class Hero nhảy lên 999ms nản luôn mn ơi,Giải trí & Gaming,Căng thẳng
Vừa fix xong bug mạng ảo Kathara mừng rớt nước mắt :((,Khoa học & Công nghệ,Hào hứng
Đang Học cấu hình Router khó hiểu quá chắc tạch quá,Học tập,Buồn rầu
Bị điểm thấp bài kiểm tra Quản trị hệ thống chán chả buồn nói thật sự,Học tập,Buồn rầu
Tự nhiên Thầy chấm đồ án niên luận gắt quá hihi,Học tập,Buồn rầu
Hôm nay Trời mưa nằm nhà ăn quán vỉa hè là sướng nhất chán,Đời sống thường ngày,Thư giãn
Đang Bị điểm thấp bài kiểm tra thực tập mạng chán chả buồn nói mn ơi,Học tập,Buồn rầu
Tự nhiên Code xong chức năng server Linux thấy mình bá thật haha,Khoa học & Công nghệ,Hào hứng
Thề luôn Gặp lại bạn cũ đi ăn mì tôm cười thả ga,Đời sống thường ngày,Vui vẻ
"Thề luôn Hôm nay xui xẻo, lỡ làm ăn mì tôm hỏng thật sự",Đời sống thường ngày,Buồn rầu
Đang Cuối tuần ngồi chơi chuột FPS chill chill mn ơi,Giải trí & Gaming,Thư giãn
Nay Làm đồ án với code React mà code không chạy,Khoa học & Công nghệ,Căng thẳng
Được tặng món quà dạo phố vui quá mn ơi,Đời sống thường ngày,Vui vẻ
Hôm nay Bug Ubuntu dual boot fix cả đêm chưa xong trầm cảm thật sự,Khoa học & Công nghệ,Căng thẳng
Tự nhiên Thầy chấm bảo vệ đề tài gắt quá mn ơi,Học tập,Buồn rầu
Thề luôn Cài đặt lab cho bài tập nhóm phức tạp ghê ae ạ,Học tập,Căng thẳng
Nay Máy chủ database Firebase bị sập chán quá hihi,Khoa học & Công nghệ,Buồn rầu
"Tự nhiên Cuối tháng hết tiền, phải ăn quán vỉa hè cho qua ngày",Đời sống thường ngày,Buồn rầu
Đang Cuối tuần đi chạy xe quanh Cần Thơ hít thở không khí trong lành mn ơi,Đời sống thường ngày,Thư giãn
Cuối cùng cũng qua môn đồ án niên luận chán,Học tập,Hào hứng
Đang Deadline môn đồ án niên luận dí sấp mặt,Học tập,Căng thẳng
Cuối cùng cũng qua môn bảo vệ đề tài mn ơi,Học tập,Hào hứng
Hôm nay Cấu hình Ubuntu dual boot khó quá nhức hết cả đầu chán,Khoa học & Công nghệ,Căng thẳng
Thề luôn Giải được bài Quản trị hệ thống khó nhất lớp chán,Học tập,Hào hứng
Trời mưa ngập đường không đi chạy xe quanh Cần Thơ được chán quá,Đời sống thường ngày,Buồn rầu
Thề luôn Vừa fix xong bug PSU 650W mừng rớt nước mắt chán,Khoa học & Công nghệ,Hào hứng
Làm bài tập đồ án niên luận với team mệt mỏi quá,Học tập,Căng thẳng
"Hôm nay Rớt môn bài tập nhóm rồi, buồn quá :((",Học tập,Buồn rầu
Thề luôn Cuối cùng cũng qua môn CT179 thật sự,Học tập,Hào hứng
"Nay Hôm nay xui xẻo, lỡ làm ăn quán vỉa hè hỏng haha",Đời sống thường ngày,Buồn rầu
Đang Mới được nhận lương đi chạy xe quanh Cần Thơ thôi haha,Đời sống thường ngày,Vui vẻ
Đang Chơi OBS stream bị giật lag ping cao bực mình chán,Giải trí & Gaming,Căng thẳng
Vừa fix xong bug máy ảo VMware mừng rớt nước mắt hihi,Khoa học & Công nghệ,Hào hứng
"Hôm nay Cuối tháng hết tiền, phải ngủ nướng cho qua ngày :((",Đời sống thường ngày,Buồn rầu
Đang Cuối tuần ngồi chơi Return of the Disaster-Class Hero chill chill chán,Giải trí & Gaming,Thư giãn
Tự nhiên Cày Valorant giải trí sau giờ học chán,Giải trí & Gaming,Thư giãn
Đang Pha ly cà phê ngồi ngủ nướng ngắm phố phường thật sự,Đời sống thường ngày,Thư giãn
"Thề luôn Hôm nay xui xẻo, lỡ làm dạo phố hỏng ae ạ",Đời sống thường ngày,Buồn rầu
Hôm nay Hệ thống mạng ảo Kathara đang báo lỗi đỏ lòm thật sự,Khoa học & Công nghệ,Căng thẳng
Đang Vừa thắng chuỗi trận Valorant cảm giác yomost mn ơi,Giải trí & Gaming,Hào hứng
Nay Làm đồ án với code PHP mà code không chạy haha,Khoa học & Công nghệ,Căng thẳng
Nay Cuối tuần đi ăn mì tôm hít thở không khí trong lành mn ơi,Đời sống thường ngày,Thư giãn
Nay Được tặng món quà ăn quán vỉa hè vui quá chán,Đời sống thường ngày,Vui vẻ
Đang Chuỗi thua rank Kim Cương tụt rank thảm hại haha,Giải trí & Gaming,Căng thẳng
Thề luôn Bị điểm thấp bài kiểm tra cấu hình Router chán chả buồn nói quá,Học tập,Buồn rầu
Hôm nay Trời mưa nằm nhà nghe nhạc là sướng nhất,Đời sống thường ngày,Thư giãn
Hôm nay Hệ thống code PHP đang báo lỗi đỏ lòm chán,Khoa học & Công nghệ,Căng thẳng
Hôm nay Học bảo vệ đề tài khó hiểu quá chắc tạch haha,Học tập,Buồn rầu
"Thề luôn Rớt môn đồ án niên luận rồi, buồn quá chán",Học tập,Buồn rầu
Đang Làm bài tập Quản trị hệ thống với team mệt mỏi quá thật sự,Học tập,Căng thẳng
Thề luôn Bị điểm thấp bài kiểm tra bảo vệ đề tài chán chả buồn nói hihi,Học tập,Buồn rầu
Hôm nay Cày OBS stream giải trí sau giờ học :((,Giải trí & Gaming,Thư giãn
"Thề luôn Cuối tháng hết tiền, phải chạy xe quanh Cần Thơ cho qua ngày hihi",Đời sống thường ngày,Buồn rầu
Tự nhiên Gặp lại bạn cũ đi ăn quán vỉa hè cười thả ga haha,Đời sống thường ngày,Vui vẻ
Làm ván chuột FPS cho nhẹ đầu haha,Giải trí & Gaming,Thư giãn
Hôm nay Máy chủ PSU 650W bị sập chán quá hihi,Khoa học & Công nghệ,Buồn rầu
Nay Deadline môn cấu hình Router dí sấp mặt ae ạ,Học tập,Căng thẳng
Thề luôn Trời mưa ngập đường không đi ăn quán vỉa hè được chán quá,Đời sống thường ngày,Buồn rầu
Tự nhiên Cấu hình Ubuntu dual boot khó quá nhức hết cả đầu,Khoa học & Công nghệ,Căng thẳng
Thề luôn Máy chủ CentOS bị sập chán quá ae ạ,Khoa học & Công nghệ,Buồn rầu
Đang Sáng sớm dậy chạy xe quanh Cần Thơ thấy lòng bình yên ae ạ,Đời sống thường ngày,Thư giãn
"Đang Hôm nay xui xẻo, lỡ làm ăn mì tôm hỏng :((",Đời sống thường ngày,Buồn rầu
Giải được bài thực tập mạng khó nhất lớp hihi,Học tập,Hào hứng
Thề luôn Pha ly cà phê ngồi chạy xe quanh Cần Thơ ngắm phố phường haha,Đời sống thường ngày,Thư giãn
Hôm nay Gặp lại bạn cũ đi ăn quán vỉa hè cười thả ga ae ạ,Đời sống thường ngày,Vui vẻ
Thề luôn Đọc liền tù tì bộ Minecraft cuốn quá mn ơi,Giải trí & Gaming,Thư giãn
Đang Làm ván Valorant cho nhẹ đầu,Giải trí & Gaming,Thư giãn
Hôm nay Đi chơi Wuthering Waves với anh em cười đau bụng thật sự,Giải trí & Gaming,Hào hứng
Làm ván rank Kim Cương cho nhẹ đầu hihi,Giải trí & Gaming,Thư giãn
Hôm nay Ping Wuthering Waves nhảy lên 999ms nản luôn quá,Giải trí & Gaming,Căng thẳng
Thề luôn Mới làm hỏng code PHP tốn mớ tiền thật sự,Khoa học & Công nghệ,Buồn rầu
Thề luôn Đi chơi Valorant với anh em cười đau bụng,Giải trí & Gaming,Hào hứng
Thề luôn Gánh team còng lưng trong truyện Manhwa mn ơi,Giải trí & Gaming,Hào hứng
Tự nhiên Hôm nay trời đẹp đi ngủ nướng quá xá đã chán,Đời sống thường ngày,Vui vẻ
Mới được nhận lương đi ăn quán vỉa hè thôi haha,Đời sống thường ngày,Vui vẻ
Hôm nay Hôm nay trời đẹp đi ăn mì tôm quá xá đã mn ơi,Đời sống thường ngày,Vui vẻ
Tự nhiên Thầy chấm thực tập mạng gắt quá thật sự,Học tập,Buồn rầu
Làm bài tập viết báo cáo với team mệt mỏi quá hihi,Học tập,Căng thẳng
