Text,Topic,Emotion
Đang Đợi ngủ nướng mỏi hết cả chân :((,Đời sống thường ngày,Căng thẳng
Đang Đang code ngon thì database Firebase dở chứng vãi,Khoa học & Công nghệ,Buồn rầu
Đang Mới làm hỏng code PHP tốn mớ tiền vãi,Khoa học & Công nghệ,Buồn rầu
Thề luôn Bị đồng đội toxic trong Minecraft bực cả mình mn ơi,Giải trí & Gaming,Căng thẳng
Nay Bị khóa acc Minecraft oan ức quá haha,Giải trí & Gaming,Buồn rầu
Nay Thuyết trình thực tập mạng thành công rực rỡ haha,Học tập,Hào hứng
Buồn cười quá Thầy khen bài tập Toán rời rạc làm xuất sắc vãi,Học tập,Hào hứng
Ăn trúng quán chạy xe quanh Cần Thơ ngon bá cháy :((,Đời sống thường ngày,Vui vẻ
Đang Thức trắng đêm ôn Toán rời rạc thật sự,Học tập,Căng thẳng
Nay Hôm nay trời đẹp đi đi siêu thị quá xá đã mn ơi,Đời sống thường ngày,Vui vẻ
Buồn cười quá Deadline môn bài tập nhóm dí sấp mặt haha,Học tập,Căng thẳng
Thề luôn Làm ván phim hoạt hình cho nhẹ đầu hihi,Giải trí & Gaming,Thư giãn
Tự nhiên Dựng xong code React nhìn ngầu bá cháy hihi,Khoa học & Công nghệ,Hào hứng
Nay Trượt mất phần thưởng phim hoạt hình cay quá mn ơi,Giải trí & Gaming,Buồn rầu
"Hôm nay xui xẻo, lỡ làm ăn quán vỉa hè hỏng",Đời sống thường ngày,Buồn rầu
Tự nhiên Xung đột driver mã nguồn Python sửa mãi không được ae ạ,Khoa học & Công nghệ,Căng thẳng
"Tự nhiên Nhà cúp điện đen thui, không thể ăn mì tôm được, chán thật hihi",Đời sống thường ngày,Buồn rầu
Thề luôn Nay mới tậu card màn hình dùng sướng vãi hihi,Khoa học & Công nghệ,Hào hứng
Hôm nay Cuối cùng cũng qua môn Quản trị hệ thống mn ơi,Học tập,Hào hứng
Kẹt xe cứng ngắc lúc đang đi dạo phố :((,Đời sống thường ngày,Căng thẳng
Thề luôn Mới cài xong database Firebase chạy bao mượt vãi,Khoa học & Công nghệ,Hào hứng
Nay Cấu hình router mạng khó quá nhức hết cả đầu thật sự,Khoa học & Công nghệ,Căng thẳng
Buồn cười quá Vừa lập kỷ lục mới trong rank Kim Cương ae ạ,Giải trí & Gaming,Hào hứng
Buồn cười quá Cày truyện Manhwa giải trí sau giờ học ae ạ,Giải trí & Gaming,Thư giãn
"Buồn cười quá Game Discord dạo này chán quá, hết hứng chơi :((",Giải trí & Gaming,Buồn rầu
Hôm nay trời đẹp đi nấu ăn quá xá đã haha,Đời sống thường ngày,Vui vẻ
Đang Trượt mất phần thưởng board game cay quá haha,Giải trí & Gaming,Buồn rầu
Hôm nay Pha ly cà phê ngồi tập gym ngắm phố phường :((,Đời sống thường ngày,Thư giãn
Nay Lỡ tay xóa mất chip Ryzen không cứu được thật sự,Khoa học & Công nghệ,Buồn rầu
Buồn cười quá Học bài tập nhóm khó hiểu quá chắc tạch :((,Học tập,Buồn rầu
Tự nhiên Ping Discord nhảy lên 999ms nản luôn ae ạ,Giải trí & Gaming,Căng thẳng
Tự nhiên Học thi cuối kỳ khó hiểu quá chắc tạch thật sự,Học tập,Buồn rầu
Tự nhiên Máy chủ mạng ảo Kathara bị sập chán quá mn ơi,Khoa học & Công nghệ,Buồn rầu
Sáng ra Đợi dọn dẹp nhà cửa mỏi hết cả chân :((,Đời sống thường ngày,Căng thẳng
Nay Cấu hình API khó quá nhức hết cả đầu quá,Khoa học & Công nghệ,Căng thẳng
Sáng ra Thức trắng đêm ôn thi cuối kỳ thật sự,Học tập,Căng thẳng
Hôm nay Mới được nhận lương đi ăn quán vỉa hè thôi ae ạ,Đời sống thường ngày,Vui vẻ
Hôm nay Nay mới tậu code React dùng sướng vãi quá,Khoa học & Công nghệ,Hào hứng
Buồn cười quá Đợi xem phim Donghua mỏi hết cả chân :v,Đời sống thường ngày,Căng thẳng
Đang Đợi nghe nhạc mỏi hết cả chân chán,Đời sống thường ngày,Căng thẳng
Đang Thuyết trình Cấu trúc dữ liệu thành công rực rỡ hihi,Học tập,Hào hứng
"Hôm nay Tài khoản database Firebase bị khóa, khóc ròng ae ạ",Khoa học & Công nghệ,Buồn rầu
Cấu hình card màn hình khó quá nhức hết cả đầu vãi,Khoa học & Công nghệ,Căng thẳng
Thề luôn Vừa fix xong bug code PHP mừng rớt nước mắt,Khoa học & Công nghệ,Hào hứng
Sáng ra Kẹt xe cứng ngắc lúc đang đi dọn dẹp nhà cửa,Đời sống thường ngày,Căng thẳng
Tự nhiên Đang code ngon thì router mạng dở chứng :v,Khoa học & Công nghệ,Buồn rầu
Tự nhiên Gặp lại bạn cũ đi chạy xe quanh Cần Thơ cười thả ga mn ơi,Đời sống thường ngày,Vui vẻ
Thề luôn Bị điểm thấp bài kiểm tra cấu hình Router chán chả buồn nói,Học tập,Buồn rầu
Tự nhiên Cuối tuần ngồi chơi Wuthering Waves chill chill haha,Giải trí & Gaming,Thư giãn
Đang Chuỗi thua Valorant tụt rank thảm hại quá,Giải trí & Gaming,Căng thẳng
Buồn cười quá Gặp chuyện bực mình lúc dạo phố,Đời sống thường ngày,Căng thẳng
Sáng ra Gặp lại bạn cũ đi ngủ nướng cười thả ga chán,Đời sống thường ngày,Vui vẻ
Hôm nay Mới làm hỏng card màn hình tốn mớ tiền chán,Khoa học & Công nghệ,Buồn rầu
Thề luôn Trời mưa ngập đường không đi uống cà phê được chán quá chán,Đời sống thường ngày,Buồn rầu
Nay Học Cấu trúc dữ liệu khó hiểu quá chắc tạch chán,Học tập,Buồn rầu
Đang Code xong chức năng server Linux thấy mình bá thật vãi,Khoa học & Công nghệ,Hào hứng
Hôm nay Cày Return of the Disaster-Class Hero giải trí sau giờ học,Giải trí & Gaming,Thư giãn
Thề luôn Máy chủ router mạng bị sập chán quá vãi,Khoa học & Công nghệ,Buồn rầu
Thề luôn Nay mới tậu PSU 650W dùng sướng vãi quá,Khoa học & Công nghệ,Hào hứng
Thầy khen bài tập thi cuối kỳ làm xuất sắc haha,Học tập,Hào hứng
"Sáng ra Tài khoản mã nguồn Python bị khóa, khóc ròng :((",Khoa học & Công nghệ,Buồn rầu
Tự nhiên Cấu hình chip Ryzen khó quá nhức hết cả đầu :((,Khoa học & Công nghệ,Căng thẳng
Cài đặt lab cho Lập trình web phức tạp ghê quá,Học tập,Căng thẳng
"Tự nhiên Cấu hình thành công database Firebase, tối nay ngủ ngon rồi :((",Khoa học & Công nghệ,Hào hứng
Nay Chuỗi thua Valorant tụt rank thảm hại mn ơi,Giải trí & Gaming,Căng thẳng
Thề luôn Bug mã nguồn Python fix cả đêm chưa xong trầm cảm quá,Khoa học & Công nghệ,Căng thẳng
Buồn cười quá Thầy khen bài tập cấu hình Router làm xuất sắc :((,Học tập,Hào hứng
Hôm nay Sáng sớm dậy ăn mì tôm thấy lòng bình yên ae ạ,Đời sống thường ngày,Thư giãn
Thề luôn Thầy khen bài tập viết báo cáo làm xuất sắc hihi,Học tập,Hào hứng
Buồn cười quá Mai thi môn thi cuối kỳ mà chưa chữ nào vào đầu thật sự,Học tập,Căng thẳng
"Làm sai bét câu cuối môn cấu hình Router, tiếc đứt ruột hihi",Học tập,Buồn rầu
Nay Cuối cùng cũng qua môn bảo vệ đề tài thật sự,Học tập,Hào hứng
"Thề luôn Cuối tháng hết tiền, phải chạy xe quanh Cần Thơ cho qua ngày chán",Đời sống thường ngày,Buồn rầu
Chơi Đấu Trường Chân Lý bị giật lag ping cao bực mình hihi,Giải trí & Gaming,Căng thẳng
Buồn cười quá Lỡ tay xóa mất code PHP không cứu được vãi,Khoa học & Công nghệ,Buồn rầu
Thề luôn Đọc liền tù tì bộ board game cuốn quá,Giải trí & Gaming,Thư giãn
Thề luôn Lỡ tay xóa mất router mạng không cứu được quá,Khoa học & Công nghệ,Buồn rầu
"Buồn cười quá Roll mãi không ra waifu trong Valorant, trầm cảm vãi",Giải trí & Gaming,Buồn rầu
Đạt điểm A môn thực tập mạng sung sướng quá haha,Học tập,Hào hứng
Tự nhiên Đang code ngon thì router mạng dở chứng ae ạ,Khoa học & Công nghệ,Buồn rầu
Hôm nay Phá đảo phim hoạt hình trong một đêm :v,Giải trí & Gaming,Hào hứng
Tự nhiên Kẹt xe cứng ngắc lúc đang đi ăn quán vỉa hè chán,Đời sống thường ngày,Căng thẳng
Sáng ra Mới cài xong server Linux chạy bao mượt chán,Khoa học & Công nghệ,Hào hứng
Nghe nhạc lofi và chơi Wuthering Waves thật bình yên haha,Giải trí & Gaming,Thư giãn
Sáng ra Thức trắng đêm ôn Quản trị hệ thống thật sự,Học tập,Căng thẳng
Hôm nay Cuối tuần đi nấu ăn hít thở không khí trong lành quá,Đời sống thường ngày,Thư giãn
Nay Vừa fix xong bug CentOS mừng rớt nước mắt chán,Khoa học & Công nghệ,Hào hứng
Tự nhiên Kẹt xe cứng ngắc lúc đang đi tập gym ae ạ,Đời sống thường ngày,Căng thẳng
Sáng ra Gặp team tạ trong Discord ức chế thật :((,Giải trí & Gaming,Căng thẳng
Tự nhiên Phá đảo Wuthering Waves trong một đêm :v,Giải trí & Gaming,Hào hứng
Đang Đợi ngủ nướng mỏi hết cả chân mn ơi,Đời sống thường ngày,Căng thẳng
Tự nhiên Thầy khen bài tập bài tập nhóm làm xuất sắc quá,Học tập,Hào hứng
Buồn cười quá Thầy khen bài tập đồ án niên luận làm xuất sắc haha,Học tập,Hào hứng
Thề luôn Làm đồ án với server Linux mà code không chạy :((,Khoa học & Công nghệ,Căng thẳng
Buồn cười quá Bị khóa acc truyện Manhwa oan ức quá ae ạ,Giải trí & Gaming,Buồn rầu
Đang Nghe nhạc lofi và chơi Discord thật bình yên hihi,Giải trí & Gaming,Thư giãn
Thề luôn Đạt điểm A môn cấu hình Router sung sướng quá hihi,Học tập,Hào hứng
Thề luôn Đang combat rank Kim Cương thì rớt mạng haha,Giải trí & Gaming,Căng thẳng
Sáng ra Đọc liền tù tì bộ chuột FPS cuốn quá hihi,Giải trí & Gaming,Thư giãn
Hôm nay Trời mưa nằm nhà xem phim Donghua là sướng nhất thật sự,Đời sống thường ngày,Thư giãn
Nay Làm đồ án với Ubuntu dual boot mà code không chạy,Khoa học & Công nghệ,Căng thẳng
"Đang Hôm nay xui xẻo, lỡ làm tập gym hỏng mn ơi",Đời sống thường ngày,Buồn rầu
Bị điểm thấp bài kiểm tra cấu hình Router chán chả buồn nói mn ơi,Học tập,Buồn rầu
Thề luôn Nghe nhạc lofi và chơi Discord thật bình yên quá,Giải trí & Gaming,Thư giãn
Đang Học bảo vệ đề tài khó hiểu quá chắc tạch vãi,Học tập,Buồn rầu
Mới được nhận lương đi ăn mì tôm thôi :((,Đời sống thường ngày,Vui vẻ
Trượt mất phần thưởng Minecraft cay quá :((,Giải trí & Gaming,Buồn rầu
Đạt điểm A môn thi cuối kỳ sung sướng quá quá,Học tập,Hào hứng
Tự nhiên Thức trắng đêm ôn bảo vệ đề tài haha,Học tập,Căng thẳng
Hôm nay Trốn việc đi ăn quán vỉa hè xả stress thật sự,Đời sống thường ngày,Thư giãn
Sáng ra Đợi uống cà phê mỏi hết cả chân hihi,Đời sống thường ngày,Căng thẳng
Tự nhiên Làm bài tập CT179 với team mệt mỏi quá vãi,Học tập,Căng thẳng
Thề luôn Mở được nhân vật xịn trong Valorant bá cháy,Giải trí & Gaming,Hào hứng
Gặp lại bạn cũ đi chạy xe quanh Cần Thơ cười thả ga thật sự,Đời sống thường ngày,Vui vẻ
Thề luôn Trời mưa ngập đường không đi dọn dẹp nhà cửa được chán quá thật sự,Đời sống thường ngày,Buồn rầu
Sáng ra Thầy chấm viết báo cáo gắt quá vãi,Học tập,Buồn rầu
Đang Ăn trúng quán dạo phố ngon bá cháy ae ạ,Đời sống thường ngày,Vui vẻ
Bị khóa acc Valorant oan ức quá :v,Giải trí & Gaming,Buồn rầu
"Thề luôn Cấu hình thành công database Firebase, tối nay ngủ ngon rồi quá",Khoa học & Công nghệ,Hào hứng
Thề luôn Sáng sớm dậy chạy xe quanh Cần Thơ thấy lòng bình yên chán,Đời sống thường ngày,Thư giãn
Nay Bị điểm thấp bài kiểm tra CT179 chán chả buồn nói mn ơi,Học tập,Buồn rầu
Cuối cùng cũng qua môn bảo vệ đề tài,Học tập,Hào hứng
Lỡ tay xóa mất server Linux không cứu được :((,Khoa học & Công nghệ,Buồn rầu
Hôm nay Ping Discord nhảy lên 999ms nản luôn vãi,Giải trí & Gaming,Căng thẳng
Đang Trượt mất phần thưởng Discord cay quá ae ạ,Giải trí & Gaming,Buồn rầu
Buồn cười quá Kẹt xe cứng ngắc lúc đang đi tập gym thật sự,Đời sống thường ngày,Căng thẳng
Buồn cười quá Gặp team tạ trong Return of the Disaster-Class Hero ức chế thật quá,Giải trí & Gaming,Căng thẳng
Đợi ăn quán vỉa hè mỏi hết cả chân :((,Đời sống thường ngày,Căng thẳng
Hôm nay Nghe nhạc lofi và chơi truyện Manhwa thật bình yên ae ạ,Giải trí & Gaming,Thư giãn
Hôm nay Gánh team còng lưng trong Valorant thật sự,Giải trí & Gaming,Hào hứng
Nay Phá đảo board game trong một đêm :((,Giải trí & Gaming,Hào hứng
Tự nhiên Vừa thắng chuỗi trận OBS stream cảm giác yomost,Giải trí & Gaming,Hào hứng
Hôm nay Đọc liền tù tì bộ Valorant cuốn quá thật sự,Giải trí & Gaming,Thư giãn
Sáng ra Được tặng món quà chạy xe quanh Cần Thơ vui quá mn ơi,Đời sống thường ngày,Vui vẻ
Đang Thầy khen bài tập thực tập mạng làm xuất sắc mn ơi,Học tập,Hào hứng
Buồn cười quá Mới cài xong database Firebase chạy bao mượt :((,Khoa học & Công nghệ,Hào hứng
Đang Cuối tuần đi dạo phố hít thở không khí trong lành ae ạ,Đời sống thường ngày,Thư giãn
Đang Trời mưa nằm nhà đi siêu thị là sướng nhất,Đời sống thường ngày,Thư giãn
"Sáng ra Rớt môn Quản trị hệ thống rồi, buồn quá hihi",Học tập,Buồn rầu
Thề luôn Gặp chuyện bực mình lúc ăn mì tôm mn ơi,Đời sống thường ngày,Căng thẳng
Nay Làm bài tập viết báo cáo với team mệt mỏi quá thật sự,Học tập,Căng thẳng
"Chưa làm xong báo cáo CT179, toang rồi quá",Học tập,Căng thẳng
Tự nhiên Cuối cùng cũng qua môn Lập trình web chán,Học tập,Hào hứng
Hôm nay Vừa lập kỷ lục mới trong truyện Manhwa vãi,Giải trí & Gaming,Hào hứng
Sáng ra Cuối cùng cũng qua môn thi cuối kỳ hihi,Học tập,Hào hứng
"Tự nhiên Cấu hình thành công code PHP, tối nay ngủ ngon rồi mn ơi",Khoa học & Công nghệ,Hào hứng
"Roll mãi không ra waifu trong Valorant, trầm cảm thật sự",Giải trí & Gaming,Buồn rầu
Tự nhiên Đi làm về mệt mà còn phải đi siêu thị mn ơi,Đời sống thường ngày,Căng thẳng
Tự nhiên Đọc liền tù tì bộ Return of the Disaster-Class Hero cuốn quá quá,Giải trí & Gaming,Thư giãn
Sáng ra Cuối cùng cũng qua môn Cấu trúc dữ liệu vãi,Học tập,Hào hứng
Đang Trốn việc đi nghe nhạc xả stress quá,Đời sống thường ngày,Thư giãn
"Đang Rớt môn Cấu trúc dữ liệu rồi, buồn quá thật sự",Học tập,Buồn rầu
Đang Giải được bài bảo vệ đề tài khó nhất lớp :v,Học tập,Hào hứng
"Nay Cấu hình thành công máy ảo VMware, tối nay ngủ ngon rồi thật sự",Khoa học & Công nghệ,Hào hứng
Tự nhiên Gặp team tạ trong Đấu Trường Chân Lý ức chế thật :((,Giải trí & Gaming,Căng thẳng
Thề luôn Làm ván chuột FPS cho nhẹ đầu quá,Giải trí & Gaming,Thư giãn
Đang Trượt mất phần thưởng Valorant cay quá ae ạ,Giải trí & Gaming,Buồn rầu
Tự nhiên Cuối tuần đi ăn quán vỉa hè hít thở không khí trong lành,Đời sống thường ngày,Thư giãn
Đang Máy chủ mã nguồn Python bị sập chán quá quá,Khoa học & Công nghệ,Buồn rầu
Hôm nay Đạt điểm A môn Lập trình web sung sướng quá :((,Học tập,Hào hứng
Sáng ra Vừa fix xong bug PSU 650W mừng rớt nước mắt hihi,Khoa học & Công nghệ,Hào hứng
Buồn cười quá Học cấu hình Router khó hiểu quá chắc tạch ae ạ,Học tập,Buồn rầu
"Buồn cười quá Làm sai bét câu cuối môn Toán rời rạc, tiếc đứt ruột vãi",Học tập,Buồn rầu
Thề luôn Trời mưa ngập đường không đi ăn quán vỉa hè được chán quá ae ạ,Đời sống thường ngày,Buồn rầu
Tự nhiên Trời mưa ngập đường không đi dọn dẹp nhà cửa được chán quá mn ơi,Đời sống thường ngày,Buồn rầu
Nay Sáng sớm dậy nghe nhạc thấy lòng bình yên haha,Đời sống thường ngày,Thư giãn
"Thề luôn Rớt môn đồ án niên luận rồi, buồn quá",Học tập,Buồn rầu
Hôm nay Mai thi môn thi cuối kỳ mà chưa chữ nào vào đầu chán,Học tập,Căng thẳng
Thề luôn Cài đặt lab cho Cấu trúc dữ liệu phức tạp ghê ae ạ,Học tập,Căng thẳng
Hôm nay Học Lập trình web khó hiểu quá chắc tạch :v,Học tập,Buồn rầu
Thề luôn Cuối cùng cũng qua môn cấu hình Router :((,Học tập,Hào hứng
Sáng ra Làm bài tập CT179 với team mệt mỏi quá :((,Học tập,Căng thẳng
Thề luôn Thầy khen bài tập Lập trình web làm xuất sắc :v,Học tập,Hào hứng
Nay Mở được nhân vật xịn trong Return of the Disaster-Class Hero bá cháy :((,Giải trí & Gaming,Hào hứng
Buồn cười quá Làm bài tập bài tập nhóm với team mệt mỏi quá thật sự,Học tập,Căng thẳng
Hôm nay Làm bài tập bài tập nhóm với team mệt mỏi quá thật sự,Học tập,Căng thẳng
Đang Thầy khen bài tập thực tập mạng làm xuất sắc vãi,Học tập,Hào hứng
Đi làm về mệt mà còn phải ăn quán vỉa hè :((,Đời sống thường ngày,Căng thẳng
Sáng ra Vừa fix xong bug chip Ryzen mừng rớt nước mắt quá,Khoa học & Công nghệ,Hào hứng
Thề luôn Bị đồng đội toxic trong Minecraft bực cả mình :((,Giải trí & Gaming,Căng thẳng
Đang Học thực tập mạng khó hiểu quá chắc tạch thật sự,Học tập,Buồn rầu
Hôm nay Nghe nhạc lofi và chơi board game thật bình yên quá,Giải trí & Gaming,Thư giãn
Hôm nay Đi chơi Valorant với anh em cười đau bụng thật sự,Giải trí & Gaming,Hào hứng
Tự nhiên Trượt mất phần thưởng chuột FPS cay quá mn ơi,Giải trí & Gaming,Buồn rầu
"Hôm nay xui xẻo, lỡ làm uống cà phê hỏng ae ạ",Đời sống thường ngày,Buồn rầu
Hôm nay Kẹt xe cứng ngắc lúc đang đi đi siêu thị ae ạ,Đời sống thường ngày,Căng thẳng
Gánh team còng lưng trong board game quá,Giải trí & Gaming,Hào hứng
Sáng ra Cuối cùng cũng qua môn bảo vệ đề tài chán,Học tập,Hào hứng
Buồn cười quá Thầy chấm viết báo cáo gắt quá hihi,Học tập,Buồn rầu
Đang Vừa thắng chuỗi trận Minecraft cảm giác yomost,Giải trí & Gaming,Hào hứng
Bị khóa acc phim hoạt hình oan ức quá ae ạ,Giải trí & Gaming,Buồn rầu
Giải được bài bảo vệ đề tài khó nhất lớp haha,Học tập,Hào hứng
Nay Xe hư giữa đường lúc đang nghe nhạc ae ạ,Đời sống thường ngày,Buồn rầu
"Nay Cuối tháng hết tiền, phải ngủ nướng cho qua ngày chán",Đời sống thường ngày,Buồn rầu
Nay Bị khóa acc Return of the Disaster-Class Hero oan ức quá quá,Giải trí & Gaming,Buồn rầu
Tự nhiên Đạt điểm A môn Toán rời rạc sung sướng quá ae ạ,Học tập,Hào hứng
"Hôm nay Cấu hình thành công code React, tối nay ngủ ngon rồi :v",Khoa học & Công nghệ,Hào hứng
Nay Nghe nhạc lofi và chơi truyện Manhwa thật bình yên ae ạ,Giải trí & Gaming,Thư giãn
Nay Kẹt xe cứng ngắc lúc đang đi đi siêu thị quá,Đời sống thường ngày,Căng thẳng
Tự nhiên Mới được nhận lương đi nấu ăn thôi,Đời sống thường ngày,Vui vẻ
Buồn cười quá Đạt điểm A môn CT179 sung sướng quá hihi,Học tập,Hào hứng
Buồn cười quá Thức trắng đêm ôn CT179 chán,Học tập,Căng thẳng
Hôm nay Xung đột driver card màn hình sửa mãi không được mn ơi,Khoa học & Công nghệ,Căng thẳng
Nay Deadline môn Lập trình web dí sấp mặt :v,Học tập,Căng thẳng
Đang Chuỗi thua Return of the Disaster-Class Hero tụt rank thảm hại thật sự,Giải trí & Gaming,Căng thẳng
Hôm nay Mới được nhận lương đi đi siêu thị thôi :v,Đời sống thường ngày,Vui vẻ
Nay Đang code ngon thì code PHP dở chứng thật sự,Khoa học & Công nghệ,Buồn rầu
"Sáng ra Màn hình xanh vì PSU 650W, hoang mang tột độ hihi",Khoa học & Công nghệ,Căng thẳng
Sáng ra Thầy chấm Lập trình web gắt quá :v,Học tập,Buồn rầu
Thầy khen bài tập viết báo cáo làm xuất sắc thật sự,Học tập,Hào hứng
"Sáng ra Game Wuthering Waves dạo này chán quá, hết hứng chơi chán",Giải trí & Gaming,Buồn rầu
Thề luôn Xung đột driver PSU 650W sửa mãi không được :((,Khoa học & Công nghệ,Căng thẳng
Nay Đi chơi Đấu Trường Chân Lý với anh em cười đau bụng ae ạ,Giải trí & Gaming,Hào hứng
Buồn cười quá Hôm nay trời đẹp đi đi siêu thị quá xá đã chán,Đời sống thường ngày,Vui vẻ
"Thề luôn Tài khoản mạng ảo Kathara bị khóa, khóc ròng",Khoa học & Công nghệ,Buồn rầu
